farmer_username,product_name,price,description,is_organic,grade_score
farmerfredericktrivedi,Mangoes,207.81,"Conventional Mangoes, Grade A, from Karnataka, farm-fresh",0,3
farmerwilliamtrivedi,Mangoes,284.01,"Organic Mangoes, Grade A, from Punjab, farm-fresh",1,3
farmerdchaudhuri,Okra,44.44,"Conventional Okra, Grade B, from Gujarat, hand-picked",0,2
farmerazaan36,Carrots,77.14,"Organic Carrots, Grade A, from Gujarat, premium quality",1,3
farmerzpalla,Wheat,39.08,"Organic Wheat, Grade B, from Tamil Nadu, premium quality",1,2
farmerchaman99,Rice,66.73,"Organic Rice, Grade B, from Karnataka, locally grown",1,2
farmerkabirkhosla,Spinach,50.54,"Organic Spinach, Grade A, from Uttar Pradesh, locally grown, Modi porro quas voluptatum animi.",1,3
farmerupkaar10,Apples,137.67,"Conventional Apples, Grade C, from Punjab, farm-fresh",0,1
farmerdaroviya,Oranges,90.46,"Organic Oranges, Grade B, from Karnataka, farm-fresh, Dolore ullam ab doloribus dolorem.",1,2
farmerhiteshbir,Spinach,21.93,"Conventional Spinach, Grade B, from Karnataka, freshly harvested, Quo sequi saepe quam eligendi.",0,2
farmeriroy,Wheat,57.63,"Organic Wheat, Grade A, from Tamil Nadu, locally grown",1,3
farmerlakshmimalhotra,Wheat,40.51,"Conventional Wheat, Grade B, from Gujarat, premium quality, Nobis possimus aliquid quibusdam dolores.",0,2
farmerrajanfaraj,Cauliflower,62.82,"Conventional Cauliflower, Grade A, from Tamil Nadu, premium quality",0,3
farmershravyajaggi,Rice,49.67,"Conventional Rice, Grade C, from Karnataka, locally grown, Dolor natus occaecati.",0,1
farmerduabenjamin,Potatoes,13.75,"Organic Potatoes, Grade C, from Karnataka, freshly harvested, Veniam animi nihil hic.",1,1
farmerudyatijha,Mangoes,175.64,"Conventional Mangoes, Grade C, from Uttar Pradesh, farm-fresh, Cum consectetur.",0,1
farmercomaryutika,Mangoes,286.72,"Organic Mangoes, Grade A, from Tamil Nadu, locally grown",1,3
farmerhbanerjee,Mangoes,272.21,"Organic Mangoes, Grade B, from Karnataka, farm-fresh",1,2
farmerdeepa09,Green Peas,55.45,"Conventional Green Peas, Grade B, from Punjab, freshly harvested, At quisquam placeat molestiae.",0,2
farmerrehaan11,Green Peas,71.83,"Organic Green Peas, Grade C, from Karnataka, locally grown",1,1
farmeralexanderlad,Oranges,132.65,"Organic Oranges, Grade A, from Uttar Pradesh, farm-fresh, Odit ex asperiores corporis expedita.",1,3
farmerasen,Cabbage,54.28,"Organic Cabbage, Grade B, from Tamil Nadu, farm-fresh",1,2
farmerqabilbhargava,Spinach,10.0,"Organic Spinach, Grade C, from Punjab, hand-picked",1,1
farmermichaelom,Cabbage,33.67,"Organic Cabbage, Grade C, from Punjab, hand-picked, Ab assumenda.",1,1
farmernehazacharia,Potatoes,38.13,"Organic Potatoes, Grade A, from Karnataka, farm-fresh",1,3
farmerparmarprisha,Cabbage,42.45,"Conventional Cabbage, Grade A, from Karnataka, locally grown",0,3
farmerindali35,Cauliflower,71.27,"Organic Cauliflower, Grade A, from Gujarat, hand-picked",1,3
farmernilima43,Okra,83.57,"Conventional Okra, Grade A, from Tamil Nadu, locally grown",0,3
farmerurishillakeer,Cauliflower,33.53,"Organic Cauliflower, Grade C, from Tamil Nadu, premium quality",1,1
farmervarsha06,Apples,207.62,"Organic Apples, Grade A, from Maharashtra, farm-fresh, Magnam exercitationem ex.",1,3
farmergbuch,Mangoes,200.21,"Conventional Mangoes, Grade C, from Karnataka, farm-fresh, Praesentium doloremque.",0,1
farmersinhajagrati,Tomatoes,48.11,"Conventional Tomatoes, Grade A, from Punjab, premium quality, Quidem fugiat.",0,3
farmerlaksh54,Bananas,25.11,"Conventional Bananas, Grade C, from Karnataka, hand-picked, Veritatis eum consequuntur fuga.",0,1
farmermanbir14,Spinach,30.59,"Conventional Spinach, Grade B, from Punjab, locally grown",0,2
farmeraloyal,Bananas,60.64,"Conventional Bananas, Grade B, from Gujarat, farm-fresh, Et laudantium doloremque.",0,2
farmernwagle,Green Peas,35.57,"Conventional Green Peas, Grade C, from Tamil Nadu, premium quality, Dolore aliquid aliquid.",0,1
farmermdubey,Bananas,72.19,"Conventional Bananas, Grade A, from Uttar Pradesh, freshly harvested",0,3
farmerdhruvmangal,Wheat,59.57,"Conventional Wheat, Grade A, from Gujarat, hand-picked, Et laudantium nihil.",0,3
farmerachar,Okra,76.67,"Organic Okra, Grade B, from Uttar Pradesh, farm-fresh",1,2
farmeraishani20,Mangoes,192.05,"Conventional Mangoes, Grade B, from Uttar Pradesh, hand-picked, Placeat voluptate dolor.",0,2
farmersuraqasim,Apples,147.63,"Conventional Apples, Grade B, from Tamil Nadu, freshly harvested",0,2
farmertriyaborah,Onions,41.29,"Organic Onions, Grade C, from Punjab, freshly harvested",1,1
farmertchand,Spinach,10.89,"Conventional Spinach, Grade C, from Uttar Pradesh, farm-fresh, Amet in aut.",0,1
farmerjack43,Cabbage,55.66,"Organic Cabbage, Grade B, from Punjab, freshly harvested",1,2
farmermaanav12,Wheat,33.88,"Organic Wheat, Grade B, from Karnataka, premium quality",1,2
farmermvarma,Cabbage,45.69,"Conventional Cabbage, Grade B, from Uttar Pradesh, premium quality",0,2
farmeriyermeera,Wheat,50.6,"Conventional Wheat, Grade A, from Gujarat, hand-picked",0,3
farmercvarma,Onions,57.7,"Organic Onions, Grade A, from Maharashtra, locally grown, Laudantium unde rem iste.",1,3
farmermiteshnagarajan,Onions,41.08,"Organic Onions, Grade C, from Uttar Pradesh, farm-fresh",1,1
farmerdaminitak,Bananas,78.37,"Organic Bananas, Grade B, from Punjab, farm-fresh",1,2
farmerekansh92,Cabbage,17.75,"Conventional Cabbage, Grade C, from Tamil Nadu, freshly harvested",0,1
farmerzaitranori,Okra,60.16,"Organic Okra, Grade B, from Maharashtra, farm-fresh, Amet sed quidem quia.",1,2
farmervgaba,Okra,79.97,"Organic Okra, Grade B, from Tamil Nadu, farm-fresh",1,2
farmerwroy,Mangoes,233.86,"Conventional Mangoes, Grade A, from Karnataka, freshly harvested, Deleniti perferendis.",0,3
farmerbhandarigavin,Tomatoes,38.57,"Organic Tomatoes, Grade B, from Punjab, farm-fresh, Reprehenderit dolores magnam earum.",1,2
farmerparthsuresh,Okra,61.59,"Organic Okra, Grade C, from Karnataka, locally grown, Distinctio culpa ut.",1,1
farmergeorge06,Green Peas,51.85,"Conventional Green Peas, Grade C, from Gujarat, farm-fresh",0,1
farmerchaudhuririshi,Green Peas,71.31,"Organic Green Peas, Grade C, from Punjab, locally grown",1,1
farmeramaramall,Cabbage,36.41,"Conventional Cabbage, Grade B, from Maharashtra, locally grown",0,2
farmerekanta29,Green Peas,107.9,"Organic Green Peas, Grade A, from Tamil Nadu, farm-fresh, Quam consequatur corrupti quidem.",1,3
farmerindaliviswanathan,Potatoes,36.6,"Organic Potatoes, Grade C, from Karnataka, farm-fresh, Minima aut.",1,1
farmerbhalladarika,Mangoes,207.86,"Conventional Mangoes, Grade B, from Tamil Nadu, premium quality, Doloribus a alias.",0,2
farmerlchhabra,Oranges,96.22,"Organic Oranges, Grade B, from Tamil Nadu, premium quality, Blanditiis magni.",1,2
farmerindira35,Carrots,89.02,"Organic Carrots, Grade A, from Maharashtra, premium quality",1,3
farmerwazir88,Carrots,47.75,"Organic Carrots, Grade C, from Punjab, premium quality",1,1
farmermahluwalia,Cabbage,72.32,"Organic Cabbage, Grade A, from Maharashtra, hand-picked, Delectus labore adipisci.",1,3
farmerhwagle,Oranges,108.78,"Organic Oranges, Grade B, from Tamil Nadu, locally grown",1,2
farmerdugalyashoda,Spinach,24.1,"Conventional Spinach, Grade C, from Uttar Pradesh, hand-picked, Odit dolore.",0,1
farmeryoshitaarya,Apples,173.66,"Conventional Apples, Grade A, from Punjab, farm-fresh, Eum velit repellat.",0,3
farmerbhavya87,Potatoes,10.82,"Conventional Potatoes, Grade B, from Tamil Nadu, freshly harvested, Labore quia eum esse.",0,2
farmerpallzarna,Onions,25.11,"Organic Onions, Grade C, from Uttar Pradesh, locally grown, Qui consequatur.",1,1
farmerdarika66,Tomatoes,17.04,"Conventional Tomatoes, Grade C, from Karnataka, hand-picked",0,1
farmerekavir58,Onions,31.48,"Conventional Onions, Grade C, from Uttar Pradesh, freshly harvested",0,1
farmermammenbina,Tomatoes,64.87,"Conventional Tomatoes, Grade A, from Uttar Pradesh, farm-fresh, Repellendus dignissimos.",0,3
farmerpurohiteesha,Onions,23.34,"Conventional Onions, Grade C, from Gujarat, locally grown, Eveniet illo.",0,1
farmerojaskara,Rice,80.38,"Organic Rice, Grade C, from Karnataka, hand-picked, Quas blanditiis vitae.",1,1
farmerjeremiah64,Cabbage,39.21,"Organic Cabbage, Grade C, from Maharashtra, freshly harvested",1,1
farmeraryankapoor,Onions,38.84,"Conventional Onions, Grade B, from Gujarat, freshly harvested",0,2
farmeruradhakrishnan,Cauliflower,27.92,"Conventional Cauliflower, Grade B, from Uttar Pradesh, hand-picked",0,2
farmerishani06,Cabbage,16.22,"Conventional Cabbage, Grade C, from Maharashtra, hand-picked",0,1
farmerannegaurang,Green Peas,48.13,"Conventional Green Peas, Grade B, from Uttar Pradesh, premium quality, Quo odio.",0,2
farmerdmaharaj,Cauliflower,69.62,"Conventional Cauliflower, Grade A, from Karnataka, locally grown",0,3
farmeramahajan,Potatoes,38.28,"Organic Potatoes, Grade B, from Maharashtra, farm-fresh, Est ullam.",1,2
farmerpsodhi,Spinach,10.0,"Organic Spinach, Grade C, from Uttar Pradesh, hand-picked, Alias facere deleniti.",1,1
farmerfarhan04,Okra,44.2,"Conventional Okra, Grade B, from Karnataka, locally grown, Ipsum culpa eveniet eaque.",0,2
farmerpaumekhala,Bananas,32.66,"Conventional Bananas, Grade C, from Tamil Nadu, farm-fresh",0,1
farmerfrado04,Potatoes,49.23,"Organic Potatoes, Grade A, from Punjab, farm-fresh",1,3
farmerakshay01,Rice,98.83,"Organic Rice, Grade A, from Punjab, hand-picked",1,3
farmernigameta,Onions,30.09,"Organic Onions, Grade C, from Karnataka, hand-picked",1,1
farmerkbarman,Rice,71.48,"Organic Rice, Grade B, from Tamil Nadu, freshly harvested",1,2
farmernsrivastava,Green Peas,72.94,"Organic Green Peas, Grade C, from Tamil Nadu, locally grown",1,1
farmerwarinder73,Bananas,74.97,"Conventional Bananas, Grade A, from Uttar Pradesh, freshly harvested, Praesentium rem quae.",0,3
farmeranirudhgoswami,Tomatoes,48.8,"Conventional Tomatoes, Grade B, from Punjab, hand-picked, Consequatur quae adipisci.",0,2
farmerdivyashroff,Tomatoes,35.83,"Organic Tomatoes, Grade C, from Tamil Nadu, premium quality",1,1
farmerduttdalbir,Carrots,52.93,"Conventional Carrots, Grade C, from Maharashtra, locally grown",0,1
farmermitalinagy,Wheat,35.39,"Organic Wheat, Grade C, from Tamil Nadu, premium quality, Ullam quis ipsam cum aperiam.",1,1
farmerhseth,Apples,197.19,"Organic Apples, Grade C, from Uttar Pradesh, locally grown",1,1
farmerprashadgopal,Rice,61.87,"Conventional Rice, Grade C, from Maharashtra, locally grown, Nam quos magnam corporis soluta.",0,1
farmeretakaul,Cabbage,32.12,"Organic Cabbage, Grade B, from Maharashtra, freshly harvested",1,2
farmertrivediwazir,Wheat,26.21,"Conventional Wheat, Grade B, from Gujarat, freshly harvested",0,2
farmerwriddhish38,Oranges,96.96,"Conventional Oranges, Grade A, from Gujarat, farm-fresh, Vel temporibus.",0,3
farmereesha28,Apples,180.18,"Conventional Apples, Grade A, from Karnataka, hand-picked, Ab non iure accusamus.",0,3
farmerlibni18,Oranges,136.83,"Organic Oranges, Grade A, from Maharashtra, locally grown",1,3
farmersaxenayashawini,Carrots,81.3,"Organic Carrots, Grade A, from Uttar Pradesh, farm-fresh",1,3
farmerayushmanoommen,Rice,80.71,"Organic Rice, Grade B, from Gujarat, freshly harvested, Magnam libero maxime optio.",1,2
farmerayushbhattacharyya,Onions,36.85,"Conventional Onions, Grade B, from Punjab, premium quality, Reprehenderit animi fugit consequuntur.",0,2
farmervinayabasak,Bananas,48.42,"Conventional Bananas, Grade C, from Karnataka, locally grown, Ratione quibusdam beatae voluptates veniam.",0,1
farmeraayush60,Onions,60.81,"Organic Onions, Grade A, from Karnataka, farm-fresh",1,3
farmerkpau,Potatoes,51.42,"Conventional Potatoes, Grade A, from Karnataka, freshly harvested",0,3
farmervrishti27,Oranges,80.5,"Conventional Oranges, Grade C, from Maharashtra, premium quality",0,1
farmerwsarraf,Spinach,34.03,"Organic Spinach, Grade A, from Karnataka, premium quality, Recusandae perspiciatis labore.",1,3
farmersinhagautami,Rice,70.08,"Conventional Rice, Grade B, from Tamil Nadu, freshly harvested, Quam assumenda rerum voluptates voluptates.",0,2
farmerdoshiirya,Potatoes,19.71,"Conventional Potatoes, Grade C, from Gujarat, freshly harvested, Occaecati odio architecto culpa.",0,1
farmerkalpit75,Mangoes,188.65,"Conventional Mangoes, Grade B, from Uttar Pradesh, locally grown, Ipsa unde consequuntur nostrum.",0,2
farmerishanvibuch,Spinach,18.43,"Organic Spinach, Grade C, from Tamil Nadu, freshly harvested",1,1
farmerakshayahuja,Spinach,46.45,"Conventional Spinach, Grade A, from Uttar Pradesh, premium quality",0,3
farmergjohal,Oranges,111.0,"Conventional Oranges, Grade A, from Karnataka, premium quality, Exercitationem quam.",0,3
farmeraryameghana,Cabbage,52.73,"Conventional Cabbage, Grade A, from Tamil Nadu, hand-picked, Et cumque.",0,3
farmerisha12,Apples,209.29,"Organic Apples, Grade B, from Punjab, locally grown, Reiciendis quo cum.",1,2
farmergokhaleomaja,Potatoes,26.45,"Organic Potatoes, Grade B, from Punjab, farm-fresh, Impedit doloremque iste totam.",1,2
farmerjhalak39,Oranges,80.17,"Conventional Oranges, Grade B, from Punjab, hand-picked, Labore vero temporibus repellendus.",0,2
farmeramritasarkar,Oranges,92.21,"Conventional Oranges, Grade A, from Punjab, farm-fresh",0,3
farmermiteshyohannan,Cauliflower,27.29,"Organic Cauliflower, Grade C, from Uttar Pradesh, premium quality",1,1
farmerdjaggi,Okra,84.84,"Organic Okra, Grade A, from Karnataka, farm-fresh",1,3
farmerbhargavarehaan,Cauliflower,45.14,"Conventional Cauliflower, Grade B, from Gujarat, premium quality, Hic facilis sapiente quam est.",0,2
farmersbuch,Rice,91.78,"Conventional Rice, Grade A, from Uttar Pradesh, farm-fresh",0,3
farmerxavier29,Spinach,29.13,"Organic Spinach, Grade B, from Punjab, premium quality, Beatae quidem quidem dolorem.",1,2
farmersaksham21,Okra,87.9,"Organic Okra, Grade A, from Punjab, premium quality, Pariatur tempore inventore officia suscipit.",1,3
farmerradha45,Cabbage,57.43,"Conventional Cabbage, Grade A, from Punjab, premium quality",0,3
farmervrishti66,Apples,194.86,"Organic Apples, Grade B, from Karnataka, freshly harvested",1,2
farmerchaudryrehaan,Rice,68.58,"Conventional Rice, Grade B, from Maharashtra, premium quality, Eum quas illum.",0,2
farmerddey,Bananas,62.96,"Conventional Bananas, Grade A, from Maharashtra, freshly harvested, Consequuntur saepe.",0,3
farmerkrishna65,Potatoes,57.93,"Conventional Potatoes, Grade A, from Uttar Pradesh, farm-fresh, Corporis soluta architecto voluptas.",0,3
farmerdevkashyap,Cabbage,59.3,"Organic Cabbage, Grade B, from Maharashtra, hand-picked",1,2
farmertimothy07,Onions,38.48,"Organic Onions, Grade B, from Tamil Nadu, hand-picked",1,2
farmeryashasviparikh,Mangoes,279.64,"Organic Mangoes, Grade A, from Maharashtra, hand-picked",1,3
farmermohininarayanan,Bananas,77.29,"Conventional Bananas, Grade A, from Punjab, freshly harvested, Quo debitis harum voluptatum sed.",0,3
farmermeera43,Potatoes,14.55,"Conventional Potatoes, Grade B, from Uttar Pradesh, locally grown",0,2
farmerpratyush96,Okra,50.11,"Conventional Okra, Grade C, from Uttar Pradesh, farm-fresh",0,1
farmerreyanshgandhi,Bananas,53.58,"Conventional Bananas, Grade C, from Maharashtra, freshly harvested, Dolorem ipsam.",0,1
farmerroygavin,Tomatoes,70.18,"Organic Tomatoes, Grade A, from Gujarat, locally grown",1,3
farmeradya86,Apples,194.43,"Organic Apples, Grade C, from Karnataka, hand-picked, Asperiores recusandae.",1,1
farmersethiguneet,Potatoes,17.91,"Conventional Potatoes, Grade B, from Gujarat, farm-fresh",0,2
farmerborraadvay,Okra,55.6,"Conventional Okra, Grade B, from Uttar Pradesh, farm-fresh",0,2
farmeryashodachander,Cabbage,47.84,"Organic Cabbage, Grade C, from Uttar Pradesh, locally grown",1,1
farmerojasvibawa,Mangoes,197.65,"Conventional Mangoes, Grade C, from Tamil Nadu, hand-picked, Laudantium hic temporibus.",0,1
farmersaxenaansh,Green Peas,74.3,"Organic Green Peas, Grade B, from Gujarat, farm-fresh",1,2
farmerjkala,Potatoes,62.84,"Organic Potatoes, Grade A, from Maharashtra, farm-fresh",1,3
farmergaurika42,Carrots,57.97,"Conventional Carrots, Grade B, from Punjab, freshly harvested",0,2
farmernakulbehl,Cabbage,35.27,"Organic Cabbage, Grade B, from Maharashtra, locally grown, Dolores id doloremque.",1,2
farmerrsachar,Onions,26.98,"Conventional Onions, Grade B, from Tamil Nadu, farm-fresh, Dolores omnis ab ipsa.",0,2
farmerguneetrau,Potatoes,48.57,"Organic Potatoes, Grade A, from Uttar Pradesh, freshly harvested",1,3
farmerbasakmatthew,Mangoes,194.88,"Conventional Mangoes, Grade B, from Uttar Pradesh, freshly harvested",0,2
farmerladlimenon,Apples,213.48,"Organic Apples, Grade A, from Tamil Nadu, locally grown",1,3
farmermohinigoyal,Potatoes,53.53,"Organic Potatoes, Grade A, from Uttar Pradesh, locally grown",1,3
farmernoahsethi,Okra,76.34,"Organic Okra, Grade B, from Punjab, premium quality",1,2
farmergirikgoel,Carrots,74.85,"Organic Carrots, Grade B, from Punjab, freshly harvested, A fugiat aliquam assumenda.",1,2
farmerbhatiavritti,Carrots,65.14,"Conventional Carrots, Grade A, from Uttar Pradesh, farm-fresh, Nam explicabo fugit.",0,3
farmertara69,Wheat,43.77,"Conventional Wheat, Grade B, from Punjab, hand-picked",0,2
farmerrattanhemangini,Carrots,55.1,"Organic Carrots, Grade B, from Karnataka, premium quality, Fugiat corporis sit quaerat placeat.",1,2
farmerupasnatalwar,Potatoes,32.61,"Organic Potatoes, Grade B, from Maharashtra, freshly harvested, Ut voluptates illo accusamus.",1,2
farmeronveer70,Cauliflower,51.97,"Conventional Cauliflower, Grade A, from Maharashtra, freshly harvested",0,3
farmerdipta74,Cabbage,32.44,"Conventional Cabbage, Grade C, from Karnataka, locally grown",0,1
farmerxchakraborty,Bananas,63.58,"Organic Bananas, Grade C, from Tamil Nadu, freshly harvested, Nostrum autem provident in.",1,1
farmerlabandevi,Cauliflower,82.56,"Organic Cauliflower, Grade A, from Maharashtra, freshly harvested",1,3
farmermvora,Tomatoes,39.09,"Conventional Tomatoes, Grade C, from Maharashtra, freshly harvested, Impedit fugit architecto.",0,1
farmerchaudryrobert,Cauliflower,37.66,"Conventional Cauliflower, Grade B, from Karnataka, freshly harvested",0,2
farmerddube,Rice,52.13,"Conventional Rice, Grade C, from Karnataka, hand-picked, Dolore mollitia voluptatibus neque tenetur.",0,1
farmermohinibhasin,Green Peas,67.24,"Organic Green Peas, Grade B, from Uttar Pradesh, hand-picked",1,2
farmerkondaladli,Bananas,50.75,"Organic Bananas, Grade C, from Gujarat, farm-fresh",1,1
farmerethan81,Spinach,33.76,"Conventional Spinach, Grade A, from Karnataka, locally grown, Quisquam provident error optio pariatur.",0,3
farmershivanshmittal,Wheat,33.52,"Conventional Wheat, Grade C, from Karnataka, farm-fresh, Veritatis debitis.",0,1
farmertankjacob,Mangoes,277.46,"Organic Mangoes, Grade A, from Karnataka, premium quality, Repellendus aut eius in tempora.",1,3
farmersathvik48,Okra,73.08,"Organic Okra, Grade B, from Punjab, hand-picked, Odit harum autem quo.",1,2
farmerfiyazkuruvilla,Green Peas,55.89,"Conventional Green Peas, Grade C, from Maharashtra, freshly harvested",0,1
farmerqadim40,Tomatoes,48.39,"Conventional Tomatoes, Grade A, from Maharashtra, freshly harvested",0,3
farmerpatlalaban,Bananas,50.43,"Organic Bananas, Grade C, from Tamil Nadu, freshly harvested, Perferendis suscipit quas earum maiores.",1,1
farmerwakeeta71,Cabbage,42.94,"Conventional Cabbage, Grade B, from Tamil Nadu, freshly harvested, Ducimus consectetur accusamus similique.",0,2
farmerbhavyaramakrishnan,Spinach,17.34,"Conventional Spinach, Grade C, from Punjab, freshly harvested",0,1
farmermanneayaan,Bananas,52.9,"Organic Bananas, Grade C, from Karnataka, farm-fresh",1,1
farmerdalbirsom,Spinach,40.51,"Organic Spinach, Grade A, from Uttar Pradesh, hand-picked, Aut alias.",1,3
farmervihaan58,Carrots,41.95,"Organic Carrots, Grade C, from Uttar Pradesh, premium quality, Sint expedita ipsum.",1,1
farmerddubey,Oranges,124.13,"Organic Oranges, Grade A, from Gujarat, farm-fresh, Exercitationem dolores corrupti quidem.",1,3
farmergunbirbiswas,Wheat,41.75,"Conventional Wheat, Grade B, from Tamil Nadu, freshly harvested",0,2
farmerramaadvik,Cabbage,54.52,"Organic Cabbage, Grade B, from Uttar Pradesh, farm-fresh",1,2
farmerwchaudry,Spinach,33.36,"Organic Spinach, Grade A, from Uttar Pradesh, freshly harvested, Dignissimos eos quae.",1,3
farmeradyahayre,Carrots,42.35,"Conventional Carrots, Grade C, from Uttar Pradesh, hand-picked",0,1
farmerreddyqasim,Wheat,56.3,"Conventional Wheat, Grade A, from Tamil Nadu, premium quality",0,3
farmerradhakrishnamurthy,Wheat,37.97,"Conventional Wheat, Grade A, from Maharashtra, premium quality",0,3
farmerluke09,Wheat,47.68,"Organic Wheat, Grade B, from Karnataka, locally grown",1,2
farmerganand,Apples,126.87,"Conventional Apples, Grade C, from Punjab, freshly harvested",0,1
farmerjasmitsridhar,Green Peas,59.73,"Conventional Green Peas, Grade B, from Gujarat, farm-fresh",0,2
farmersulezarna,Okra,48.14,"Conventional Okra, Grade C, from Karnataka, locally grown",0,1
farmerekalingakale,Cabbage,25.89,"Organic Cabbage, Grade C, from Punjab, premium quality",1,1
farmerbchahal,Onions,15.44,"Conventional Onions, Grade B, from Karnataka, premium quality",0,2
farmerzviswanathan,Spinach,10.0,"Organic Spinach, Grade C, from Uttar Pradesh, locally grown",1,1
farmeropillai,Apples,187.08,"Organic Apples, Grade C, from Tamil Nadu, hand-picked",1,1
farmeravenkataraman,Potatoes,38.95,"Conventional Potatoes, Grade A, from Punjab, locally grown",0,3
farmertmalhotra,Mangoes,189.62,"Conventional Mangoes, Grade B, from Punjab, farm-fresh, Maiores at aliquid.",0,2
farmernmerchant,Tomatoes,39.55,"Organic Tomatoes, Grade C, from Maharashtra, freshly harvested, Eum sapiente accusamus quas impedit.",1,1
farmerpmalhotra,Apples,175.4,"Conventional Apples, Grade A, from Karnataka, locally grown",0,3
farmervkulkarni,Oranges,76.84,"Conventional Oranges, Grade B, from Uttar Pradesh, hand-picked",0,2
farmerkeeranusha,Green Peas,109.83,"Organic Green Peas, Grade A, from Tamil Nadu, farm-fresh",1,3
farmermeera13,Bananas,67.31,"Conventional Bananas, Grade A, from Gujarat, premium quality",0,3
farmertanmayi64,Potatoes,25.49,"Organic Potatoes, Grade C, from Maharashtra, premium quality, Explicabo fugit velit reiciendis ipsa.",1,1
farmeridika18,Potatoes,20.86,"Organic Potatoes, Grade B, from Punjab, farm-fresh, Excepturi ipsa.",1,2
farmernsahota,Bananas,50.18,"Organic Bananas, Grade C, from Gujarat, hand-picked",1,1
farmerzachariasamar,Tomatoes,15.58,"Conventional Tomatoes, Grade C, from Tamil Nadu, freshly harvested, Provident eaque magni laboriosam.",0,1
farmerfkrish,Wheat,44.7,"Organic Wheat, Grade B, from Punjab, locally grown, Reprehenderit dicta ea fuga.",1,2
farmerhemangini31,Spinach,55.9,"Organic Spinach, Grade A, from Tamil Nadu, locally grown, Quae sunt dolor et aliquid.",1,3
farmerisodhi,Potatoes,56.27,"Conventional Potatoes, Grade A, from Maharashtra, hand-picked",0,3
farmerhayerbalendra,Wheat,37.69,"Organic Wheat, Grade C, from Maharashtra, premium quality",1,1
farmerlohit46,Bananas,58.74,"Organic Bananas, Grade C, from Tamil Nadu, freshly harvested",1,1
farmerkabirkamdar,Oranges,85.86,"Conventional Oranges, Grade A, from Gujarat, freshly harvested",0,3
farmerlipikasibal,Potatoes,15.59,"Organic Potatoes, Grade C, from Maharashtra, freshly harvested, Deserunt sequi.",1,1
farmeradvayaurora,Oranges,113.11,"Conventional Oranges, Grade A, from Gujarat, farm-fresh",0,3
farmeroborra,Carrots,83.83,"Conventional Carrots, Grade A, from Punjab, locally grown",0,3
farmeradvika75,Spinach,29.54,"Conventional Spinach, Grade B, from Karnataka, hand-picked",0,2
farmerchakradevdada,Onions,32.89,"Conventional Onions, Grade C, from Uttar Pradesh, freshly harvested, Ipsum laudantium a quibusdam.",0,1
farmerlabandada,Mangoes,222.18,"Conventional Mangoes, Grade A, from Gujarat, freshly harvested",0,3
farmerjsethi,Onions,57.91,"Organic Onions, Grade A, from Tamil Nadu, freshly harvested",1,3
farmerchandjeremiah,Wheat,51.55,"Organic Wheat, Grade B, from Tamil Nadu, locally grown",1,2
farmertdube,Okra,77.63,"Conventional Okra, Grade A, from Punjab, freshly harvested",0,3
farmersvyas,Rice,67.84,"Conventional Rice, Grade A, from Karnataka, freshly harvested",0,3
farmerqkunda,Bananas,40.76,"Organic Bananas, Grade C, from Maharashtra, hand-picked",1,1
farmerjai50,Potatoes,26.7,"Conventional Potatoes, Grade B, from Gujarat, freshly harvested, Fugiat ipsum.",0,2
farmerbanikarjun,Okra,59.25,"Organic Okra, Grade B, from Maharashtra, premium quality",1,2
farmerrayaan98,Cabbage,33.2,"Conventional Cabbage, Grade C, from Punjab, locally grown",0,1
farmernorichaitanya,Spinach,53.54,"Organic Spinach, Grade A, from Maharashtra, premium quality, Inventore quae ducimus.",1,3
farmerdaniel19,Tomatoes,58.47,"Organic Tomatoes, Grade A, from Tamil Nadu, locally grown, Omnis aliquid deserunt harum.",1,3
farmerudantraghavan,Mangoes,203.61,"Conventional Mangoes, Grade C, from Uttar Pradesh, farm-fresh, Aut recusandae eos reprehenderit.",0,1
farmerbahadurjitshere,Tomatoes,44.0,"Conventional Tomatoes, Grade C, from Gujarat, freshly harvested",0,1
farmeroshasaha,Bananas,57.56,"Organic Bananas, Grade B, from Tamil Nadu, hand-picked",1,2
farmerkrishnantanvi,Wheat,41.5,"Organic Wheat, Grade B, from Maharashtra, locally grown",1,2
farmerchampak69,Rice,63.72,"Organic Rice, Grade C, from Maharashtra, premium quality, Exercitationem ipsam pariatur.",1,1
farmergilljeremiah,Okra,39.84,"Conventional Okra, Grade C, from Gujarat, freshly harvested",0,1
farmerunniramakrishnan,Rice,68.07,"Organic Rice, Grade B, from Gujarat, premium quality",1,2
farmermaya57,Onions,27.61,"Organic Onions, Grade B, from Tamil Nadu, premium quality, Saepe optio culpa molestiae.",1,2
farmerlajita68,Carrots,45.99,"Conventional Carrots, Grade B, from Uttar Pradesh, freshly harvested, Voluptate dicta quaerat eius.",0,2
farmercheemadarpan,Wheat,45.92,"Organic Wheat, Grade B, from Maharashtra, farm-fresh, In adipisci.",1,2
farmerraaginiganguly,Apples,224.12,"Organic Apples, Grade A, from Tamil Nadu, freshly harvested, Minus omnis molestias.",1,3
farmertrout,Okra,35.05,"Conventional Okra, Grade C, from Karnataka, premium quality, Ducimus quo porro sed.",0,1
farmervictor45,Oranges,68.09,"Conventional Oranges, Grade B, from Maharashtra, premium quality, Fugit vel.",0,2
farmergandhinimrat,Rice,92.12,"Organic Rice, Grade A, from Gujarat, hand-picked",1,3
